COURSE,DEPARTMENT,COURSE ID,CLASS NBR,TOTAL ENROLLMENT,GSAS,HCOL,NONDGR,VUS,XREG
AFRAMER   16,AAAS,125925,13603,15,,15,,,
AFRAMER   20,AAAS,118883,12379,51,,51,,,
AFRAMER   90R,AAAS,118965,12457,1,1,,,,
AFRAMER   90R.A,AAAS,126300,13738,6,1,1,,,4
AFRAMER   90R.A1,AAAS,109427,10315,11,2,8,,,1
AFRAMER   90R.A2,AAAS,110272,10889,2,2,,,,
AFRAMER   90R.A4,AAAS,110410,15730,2,,1,,,1
AFRAMER   90R.A5,AAAS,156750,15734,6,,6,,,
AFRAMER   90R.A6,AAAS,159663,15735,1,,,,,1
AFRAMER   90R.B,AAAS,126301,13739,1,,1,,,
AFRAMER   90R.C,AAAS,126302,13740,1,,1,,,
AFRAMER   90R.D,AAAS,126303,13741,1,1,,,,
AFRAMER   90R.G,AAAS,126306,13746,7,,6,,,1
AFRAMER   90R.H,AAAS,126307,13747,1,,,,,1
AFRAMER   90R.I,AAAS,126308,13748,13,,12,,,1
AFRAMER   90R.J,AAAS,126309,13750,1,1,,,,
AFRAMER   90R.K,AAAS,126310,13751,2,,2,,,
AFRAMER   90R.M,AAAS,126312,13753,2,,1,1,,
AFRAMER   90R.N,AAAS,126313,13754,1,,1,,,
AFRAMER   90R.O,AAAS,126314,13757,2,1,,,,1
AFRAMER   90R.Q,AAAS,126316,13759,26,1,24,,,1
AFRAMER   90R.U,AAAS,127929,14086,2,1,1,,,
AFRAMER   90R.V,AAAS,127934,14090,1,1,,,,
AFRAMER   90R.X,AAAS,107773,15737,1,1,,,,
AFRAMER   90R.Z,AAAS,109290,11785,2,,2,,,
AFRAMER   91R,AAAS,110605,10194,1,,1,,,
AFRAMER   98,AAAS,118023,12526,1,,1,,,
AFRAMER   99A,AAAS,124132,14992,2,,2,,,
AFRAMER  103X,AAAS,156113,15571,4,,3,,,1
AFRAMER  105X,AAAS,156327,14571,9,3,6,,,
AFRAMER  111,AAAS,126698,14061,12,4,8,,,
AFRAMER  117Y,AAAS,110493,11087,90,,90,,,
AFRAMER  118,AAAS,144199,13497,19,,18,,,1
AFRAMER  123X,AAAS,156254,11282,32,3,29,,,
AFRAMER  131,AAAS,111780,11818,11,,11,,,
AFRAMER  132X,AAAS,160417,15761,24,6,15,1,,2
AFRAMER  134,AAAS,160416,15762,18,,16,,,2
AFRAMER  134X,AAAS,110293,16555,10,,9,,,1
AFRAMER  180X,AAAS,127784,14574,6,3,3,,,
AFRAMER  198X,AAAS,110497,11090,10,4,5,,,1
AFRAMER  209A,AAAS,108680,11071,23,7,11,1,,4
AFRAMER  301,AAAS,115727,11922,4,4,,,,
AFRAMER  310,AAAS,115731,15660,1,1,,,,
AFRAMER  398,AAAS,122706,16880,2,2,,,,
AFRAMER  398,AAAS,122706,16877,1,1,,,,
AFRAMER  398,AAAS,122706,16878,1,1,,,,
SWAHILI     AA,AAAS,119819,15433,21,1,18,,,2
SWAHILI     BA,AAAS,144184,15168,6,,5,,,1
SWAHILI  101AR,AAAS,119820,12927,2,,2,,,
TWI     AA,AAAS,120944,15173,5,,5,,,
TWI     BA,AAAS,120947,15174,2,1,1,,,
TWI  101AR,AAAS,120948,13102,2,,2,,,
YORUBA     AA,AAAS,120952,15176,7,,6,,,1
YORUBA     BA,AAAS,120953,15177,5,1,4,,,
YORUBA  101AR,AAAS,120954,13114,3,1,2,,,
AMSTDIES  201,AMER,118017,12520,13,12,,1,,
AMSTDIES  398,AMER,110946,18177,1,1,,,,
AMSTDIES  398,AMER,110946,18196,1,1,,,,
AMSTDIES  398,AMER,110946,19006,1,1,,,,
AMSTDIES  399,AMER,124363,18204,4,4,,,,
AMSTDIES  399,AMER,124363,12858,2,2,,,,
AMSTDIES  399,AMER,124363,18214,2,2,,,,
AMSTDIES  399,AMER,124363,18215,2,2,,,,
AMSTDIES  399,AMER,124363,18202,1,1,,,,
AMSTDIES  399,AMER,124363,18203,1,1,,,,
AMSTDIES  399,AMER,124363,18205,1,1,,,,
AMSTDIES  399,AMER,124363,18206,1,1,,,,
AMSTDIES  399,AMER,124363,18207,1,1,,,,
AMSTDIES  399,AMER,124363,18209,1,1,,,,
AMSTDIES  399,AMER,124363,18211,1,1,,,,
ANTHRO   91ZR,ANTH,123453,12790,2,,2,,,
ANTHRO   98XA,ANTH,112093,10906,2,,2,,,
ANTHRO   98ZA,ANTH,113972,13954,10,,10,,,
ANTHRO   98ZA,ANTH,113972,18536,5,,5,,,
ANTHRO   98ZA,ANTH,113972,18537,5,,5,,,
ANTHRO   99ZA,ANTH,123458,15127,13,,13,,,
ANTHRO 1010,ANTH,112378,11709,63,1,62,,,
