COURSE,DEPARTMENT,COURSE ID,CLASS NBR,TOTAL ENROLLMENT,GSAS,HCOL,NONDGR,VUS,XREG
AFRAMER  182,AAAS,124607,15377,135,,132,,,2
AFRAMER  119X,AAAS,108879,15420,53,,41,1,1,9
AFRAMER   11,AAAS,123591,18542,49,,49,,,
AFRAMER  125X,AAAS,156259,11335,32,1,29,,,2
AFRAMER  135X,AAAS,108234,14794,32,12,15,,,5
AFRAMER   90R.Q,AAAS,126316,13921,25,1,22,,,2
AFRAMER  209B,AAAS,108694,11143,22,2,12,,1,7
AFRAMER  212,AAAS,110092,18346,21,,12,1,2,6
SWAHILI     AB,AAAS,159829,14895,21,1,18,,,2
AFRAMER   90R.A1,AAAS,109427,10296,19,4,14,,,1
AFRAMER  208,AAAS,160333,15375,19,14,1,,,4
AFRAMER  124Y,AAAS,159570,14785,17,3,13,1,,
AFRAMER   90R.A5,AAAS,156750,15589,15,,14,,,1
AFRAMER  140X,AAAS,109466,17084,14,2,12,,,
AFRAMER  197,AAAS,123435,12849,14,1,11,,,2
AFRAMER  137,AAAS,123434,17083,13,1,12,,,
AFRAMER  158X,AAAS,160402,15601,13,,13,,,
AFRAMER   90R.I,AAAS,126308,13907,12,,12,,,
AFRAMER  174,AAAS,118130,12047,11,,5,,,5
AFRAMER  186X,AAAS,108168,14787,10,,10,,,
AFRAMER   90R.A,AAAS,126300,13894,8,1,6,,,1
AFRAMER   90R.N,AAAS,126313,13916,7,,6,,,1
AFRAMER   97,AAAS,123590,18540,7,,7,,,
YORUBA     AB,AAAS,159872,15010,7,1,5,,,1
SWAHILI     BB,AAAS,159865,15000,6,,5,,,1
TWI     AB,AAAS,159869,15007,6,,5,,,1
AFRAMER   90R.Z,AAAS,109290,11883,5,1,3,,,1
AFRAMER  302,AAAS,116185,12270,5,5,,,,
YORUBA     BB,AAAS,159873,15011,5,1,4,,,
AFRAMER   90R,AAAS,118965,12519,4,,4,,,
AFRAMER   90R.G,AAAS,126306,13904,4,,4,,,
AFRAMER   90R.K,AAAS,126310,13910,3,,3,,,
AFRAMER   90R.U,AAAS,127929,14262,3,,3,,,
AFRAMER   98,AAAS,118023,12582,3,,3,,,
AFRAMER  191X,AAAS,127960,14280,3,,3,,,
SWAHILI  101BR,AAAS,119821,13021,3,,2,,,1
