African and African American Studies,20
Anthropology,59
Applied Mathematics,282
Astrophysics,24
Biomedical Engineering,36
Chemical and Physical Biology,50
Chemistry,88
Chemistry and Physics,28
Classics,38
Comparative Literature,26
Computer Science,433
Earth and Planetary Sciences,28
East Asian Studies,32
Economics,657
Electrical Engineering,38
Engineering Sciences,121
English,164
Environmental Science and Public Policy,59
Folklore and Mythology,17
Germanic Languages and Literatures,7
Government,360
History,163
History and Literature,156
History and Science,113
History of Art and Architecture,45
Human Developmental and Regenerative Biology,146
Human Evolutionary Biology,106
Integrative Biology,120
Linguistics,24
Mathematics,172
Mechanical Engineering,64
Molecular and Cellular Biology,162
Music,30
Near Eastern Languages and Civilizations,16
Neurobiology,185
Philosophy,84
Physics,143
Psychology,255
"Religion, Comparative Study of",25
Romance Languages and Literatures,24
Slavic Languages and Literatures,8
Social Studies,254
Sociology,127
South Asian Studies,5
Special Concentrations,8
Statistics,190
"Theater, Dance, and Media",20
Updated as of 1/21/17 from facebook.college.harvard.edu,
Visual and Environmental Studies,70
"Women, Gender, and Sexuality, Studies of",31
,5313
